rank,player_name,position,destination_school,origin_school,cbs_portal_rating,blurb,season,source
1,Sam Leavitt,QB,LSU,Arizona State,98,,2026,cbs_top100
2,Brendan Sorsby,QB,Texas Tech,Cincinnati,98,,2026,cbs_top100
3,Drew Mestemaker,QB,Oklahoma State,North Texas,98,,2026,cbs_top100
4,Jordan Seaton,OT,LSU,Colorado,98,,2026,cbs_top100
5,Princewill Umanmielen,EDGE,LSU,Ole Miss,98,,2026,cbs_top100
6,Cam Coleman,WR,Texas,Auburn,98,,2026,cbs_top100
7,Chaz Coleman,EDGE,Tennessee,Penn State,98,,2026,cbs_top100
8,Damon Wilson II,EDGE,Miami,Missouri,96,,2026,cbs_top100
9,James Smith,DL,Ohio State,Alabama,96,,2026,cbs_top100
10,Mateen Ibirogba,DL,Texas Tech,Wake Forest,96,,2026,cbs_top100
11,Isaiah Horton,WR,Texas A&M,Alabama,96,,2026,cbs_top100
12,Koi Perich,SAF,Oregon,Minnesota,95,,2026,cbs_top100
13,Omarion Miller,WR,Arizona State,Colorado,95,,2026,cbs_top100
14,DJ Lagway,QB,Baylor,Florida,94,,2026,cbs_top100
15,Dylan Raiola,QB,Oregon,Nebraska,94,,2026,cbs_top100
16,Darian Mensah,QB,Miami,Duke,94,,2026,cbs_top100
17,Reed Harris,WR,Arizona State,Boston College,94,,2026,cbs_top100
18,Tionne Gray,DL,Notre Dame,Oregon,94,,2026,cbs_top100
19,JJ Buchanan,WR,Michigan,Utah,94,,2026,cbs_top100
20,DeAndre Moore Jr.,WR,Colorado,Texas,94,,2026,cbs_top100
21,Husan Longstreet,QB,LSU,USC,94,,2026,cbs_top100
22,Deuce Knight,QB,Ole Miss,Auburn,94,,2026,cbs_top100
23,Caleb Hawkins,RB,Oklahoma State,North Texas,94,,2026,cbs_top100
24,Byrum Brown,QB,Auburn,South Florida,94,,2026,cbs_top100
25,Carius Curne,OT,Ole Miss,LSU,94,,2026,cbs_top100
26,Melvin Siani,OT,Texas,Wake Forest,94,,2026,cbs_top100
27,Lance Heard,OT,Kentucky,Tennessee,94,,2026,cbs_top100
28,Darrell Gill Jr.,WR,Ole Miss,Syracuse,94,,2026,cbs_top100
29,Terrance Green,DL,Alabama,Oregon,94,,2026,cbs_top100
30,Devan Thompkins,DL,Alabama,USC,94,,2026,cbs_top100
31,Isiah Canion,WR,Georgia,Georgia Tech,94,,2026,cbs_top100
32,Eric Singleton Jr.,WR,Florida,Auburn,94,,2026,cbs_top100
33,Nick Marsh,WR,Indiana,Michigan State,94,,2026,cbs_top100
34,Rocco Becht,QB,Penn State,Iowa State,94,,2026,cbs_top100
35,Luke Reynolds,TE,Virginia Tech,Penn State,94,,2026,cbs_top100
36,Amaris Williams,EDGE,Georgia,Auburn,94,,2026,cbs_top100
37,Tobi Osunsanmi,EDGE,Indiana,Kansas State,94,,2026,cbs_top100
38,Hollywood Smothers,RB,Texas,NC State,94,,2026,cbs_top100
39,Terrell Anderson,WR,USC,NC State,94,,2026,cbs_top100
40,Ty Benefield,SAF,LSU,Boise State,94,,2026,cbs_top100
41,Benjamin Brahmer,TE,Penn State,Iowa State,94,"A friendly target for Rocco Becht, Brahmer's 6-foot-7, 255-pound frame is hard to miss. A talented pass catcher -- especially in the red zone -- the former Cyclone adds instant credibility to a tight end room that's no stranger to Sunday talent.",2026,cbs_top100
42,Jacarrius Peak,OT,South Carolina,NC State,94,"With LaNorris Sellers among the most-sacked quarterbacks in college football over the past two seasons, upgrading protection was an obvious priority for Shane Beamer as South Carolina enters a pivotal year in Columbia. Armed with 33 career starts at NC State, Peak brings much-needed experience and pass protection to an embattled Gamecocks offensive line.",2026,cbs_top100
43,Xavier Gilliam,DL,Tennessee,Penn State,94,"A redshirt freshman last season for the Nittany Lions, Gilliam emerged under Jim Knowles in year two, logging over 400 snaps while flashing high-level activity and athleticism along the interior defensive line. A nimble mover at nearly 300 pounds, Gilliam is positioned to take a sizable step forward after banking valuable reps in just his second season.",2026,cbs_top100
44,Coleton Price,IOL,Kentucky,Baylor,94,"It's no secret that new Kentucky head coach Will Stein felt that he needed to upgrade his offensive line as Price joins two other highly touted transfers up front in Lance Heard and Tegra Tshabola. With more than 30 starts in his career, Price's stability and experience at the center position should help anchor a handful of new parts on Kentucky's offensive line.",2026,cbs_top100
45,Quincy Porter,WR,Notre Dame,Ohio State,94,"A former five-star in the Class of 2025, Porter brings a much-needed combination of size and athleticism to Notre Dame's receiving room following the departure of Malachi Fields. While his snaps were limited during his lone season in Columbus, there's plenty of impact-ready talent in the former Buckeye.",2026,cbs_top100
46,Josh Hoover,QB,Indiana,TCU,93,"A multi-year starter at TCU, Hoover has topped 3,400 passing yards in each of the past two seasons while completing north of 65 percent of his throws, operating as a quick decision-maker who thrives within structure. Hoover's presence should allow Indiana's offense to avoid missing a beat in 2026 as Heisman-winning QB Fernando Mendoza departs.   Meet Josh Hoover, the TCU transfer who will follow Heisman Trophy winner Fernando Mendoza as Indiana QB Shehan Jeyarajah Meet Josh Hoover, the TCU transfer who will follow Heisman Trophy winner Fernando Mendoza as Indiana QB",2026,cbs_top100
48,Jontez Williams,CB,USC,Iowa State,93,"Williams heads to Los Angeles as one of the most battle-tested corners in the portal, carrying nearly 20 career starts. A quick-twitch mover hovering around 5-foot-11, the former Cyclone shows excellent on-ball instincts, read-and-react ability and coverage skills that allow him to hold up against larger receivers on the perimeter.",2026,cbs_top100
49,Austin Simmons,QB,Missouri,Ole Miss,93,"After flashing high-level quarterback play early in his time in Oxford, Simmons' season was derailed by an ankle injury against Kentucky that opened the door for Ferris State transfer Trinidad Chambliss. While he showed some expected growing pains as a first-time starter, Simmons' physical ceiling remains very high.",2026,cbs_top100
50,Ethan Grunkemeyer,QB,Virginia Tech,Penn State,93,"Pressed into action after Drew Allar suffered a season-ending injury against Northwestern, the Ohio native helped guide Penn State through a turbulent stretch following the firing of James Franklin, going 4–3 across seven starts. The redshirt freshman completed nearly 70 percent of his passes with an 8-to-4 touchdown-to-interception ratio and appears poised to take another step upon his arrival in Blacksburg.",2026,cbs_top100
51,Smith Snowden,CB,Michigan,Utah,93,"A Swiss-army-knife defender in the secondary, Snowden's ability to operate both in the slot and on the perimeter gives Kyle Whittingham a tough, dependable Michigan defensive back to help solidify his secondary.",2026,cbs_top100
52,Tomiwa Durojaiye,DL,South Carolina,Illinois,93,"At his fifth school in five years, Durojaiye is coming off one of his best seasons yet as the 6-foot-5, 300-plus-pound interior defensive lineman brings immediate power and credibility to the heart of South Carolina's defensive front.",2026,cbs_top100
53,Francis Brewu,DL,Notre Dame,Pittsburgh,93,"Brewu joins Oregon transfer Tionne Gray on Notre Dame's defensive line, giving the Fighting Irish two of the most coveted front-seven prospects in the portal while providing new defensive line coach Charlie Partridge a true thunder-and-lightning pairing to challenge opposing offensive lines.",2026,cbs_top100
54,Joe Brunner,IOL,Indiana,Wisconsin,93,Brunner arrives in Bloomington with 24 Big Ten starts to his name as the Hoosiers add another plug-and-play piece to their offensive line in hopes of recreating last season's level of production up front.,2026,cbs_top100
55,Eugene Wilson III,WR,LSU,Florida,93,"When healthy, Wilson quickly proved to be one of the SEC's more dynamic receivers, though he has started just eight games over the past two seasons. Lane Kiffin and the Tigers are betting the talented pass catcher can finally put it all together in Baton Rouge.",2026,cbs_top100
56,Quintrevion Wisner,RB,Florida State,Texas,93,"A 1,000-plus-yard rusher just a season ago, Wisner saw his production dip this year behind a struggling Texas offensive line. All things considered, there's still plenty of juice left in the tank for a back who has proven highly effective when given opportunities, especially in big games.",2026,cbs_top100
57,Justice Haynes,RB,Georgia Tech,Michigan,93,"Haynes put together his most productive collegiate season before suffering a foot injury against Michigan State in late October, finishing the regular season with over 800 rushing yards and 10 touchdowns. The Georgia native now heads back home to help Brent Key re-establish the run game following the departure of Haynes King.",2026,cbs_top100
58,Hunter Welcing,TE,Ohio State,Northwestern,93,"The Buckeyes found success last season adding Purdue tight end Max Klare and now look to replicate that production with Welcing, who brings a well-rounded blocking and pass-catching skill set to Columbus.",2026,cbs_top100
59,Jordan Ross,EDGE,LSU,Tennessee,93,"The former five-star heads to Baton Rouge after two seasons in Knoxville, where he flashed high-level ability off the edge as Lane Kiffin and the Tigers hope a fresh start under Blake Baker helps him capture his Top-32 potential.",2026,cbs_top100
60,Keon Keeley,EDGE,Notre Dame,Alabama,93,"The former No. 1 defensive prospect in the Class of 2023, Keeley reunites with a familiar face in Marcus Freeman as the former Notre Dame commit looks to build on the late-season momentum he showed in his final year at Alabama.",2026,cbs_top100
61,E'Marion Harris,OT,Oklahoma,Arkansas,93,"Oklahoma needed to add starting experience up front, and Harris fits the bill, bringing 24 career starts and much-needed SEC experience to a talented but youthful offensive line.",2026,cbs_top100
62,John Henry Daley,EDGE,Michigan,Utah,93,"Second in the country with 10 sacks, Daley brings blue-collar toughness and reliability off the edge for the Wolverines. While there's nothing flashy about his game, his production and ability to consistently get to the quarterback are hard to ignore.",2026,cbs_top100
63,Qua Russaw,EDGE,Ohio State,Alabama,93,"Reuniting with former high school and collegiate teammate James Smith in Columbus, Russaw brings quick-twitch explosiveness and relentless tenacity off the edge as the Buckeyes look to replace several key front-seven departures, including potential top-five NFL Draft pick Arvell Reese.",2026,cbs_top100
64,Cade Ulave,LB,BYU,California,93,"A highly active second-level defender who topped 100 tackles last season for the Golden Bears, Uluave should make an immediate impact in Kilani Sitake's defense as one of the nation's most productive linebackers enters the fold.",2026,cbs_top100
65,Que'Sean Brown,WR,Virginia Tech,Duke,93,"A dynamic speedster who packs a punch at 5-foot-8, Brown totaled nearly 850 receiving yards at Duke last season while showing the ability to take the top off the defense and create in the open field -- traits that should aid Ethan Grunkemyer's transition at the helm of the Hokies' offense.",2026,cbs_top100
66,Tre Richardson,WR,Louisville,Vanderbilt,93,"A former Division II transfer from Washburn University, Richardson exploded onto the scene for Clark Lea and the Commodores this season accounting for 17.5 yards per reception on 46 receptions. The 5-foot-10 speedster appears to be a perfect fit for Jeff Brohm's passing attack.",2026,cbs_top100
67,Chase Hendricks,WR,California,Ohio,93,"Working predominantly out of the slot, Hendricks hauled in 71 receptions for over 1,000 yards this past season for the Bobcats, showing the ability to function as a consistent mismatch while creating separation at all three levels.",2026,cbs_top100
68,Wyatt Young,WR,Oklahoma State,North Texas,93,"The third piece of Eric Morris's UNT dynamic trio, Young joins former teammates Drew Mestemaker and Caleb Hawkins to inject immediate juice into the passing offense in Stillwater. A tough, dependable slot option, Young should transition smoothly to the Power Four level.",2026,cbs_top100
69,Jay Crawford,CB,Ole Miss,Auburn,93,"A smooth-moving corner with excellent man-to-man coverage instincts, Crawford arrives in Oxford with 18 career starts from his time at Auburn and should provide an immediate upgrade to Pete Golding's secondary.",2026,cbs_top100
70,Earl Little Jr.,S,Ohio State,Florida State,93,"An ideal replacement for soon-to-be first-round NFL Draft pick Caleb Downs, Little's instincts playing closer to the line of scrimmage against both the run and the pass are a skill set defensive coordinator Matt Patricia should be eager to deploy.",2026,cbs_top100
71,Wendell Gregory,EDGE,Kansas State,Oklahoma State,93,"A former Top247 prospect, Gregory's impact went well beyond the stat sheet this season for the Cowboys, as his twitch and explosiveness consistently caused problems for opposing offenses. With Tobi Osunsanmi off to Indiana, Gregory now gets a chance to step into an expanded role in Manhattan.",2026,cbs_top100
73,Boo Carter,S,Colorado,Tennessee,93,"Following a promising true freshman season, Carter struggled to make the same on-field impact in Knoxville this past year, and fell into Josh Heupel's doghouse over the offseason. A talented nickel defender who adds playmaking in both the secondary and as a returner, the Buffaloes are banking on a fresh start to help rediscover his early-career success.",2026,cbs_top100
74,Chase Sowell,WR,Penn State,Iowa State,93,"A highly touted portal addition for Matt Campbell and Iowa State's receiving corps just a year ago, the former East Carolina transfer found his footing in the second half of the season, accounting for half of his total receptions over the final four games while averaging more than 15 yards per reception.",2026,cbs_top100
75,Bryant Williams,OT,Arkansas,Louisiana Lafayette,93,"Sporting the look and feel of a typical Arkansas offensive lineman at 6-foot-7 and 335 pounds, Williams joins the SEC ranks after starting double-digit games for the Ragin' Cajuns at both left and right tackle, with his combination of size and experience lending itself well to a transition to the Power Four level.",2026,cbs_top100
76,Trell Harris,WR,Oklahoma,Virginia,93,"Following their College Football Playoff exit, the Sooners moved quickly to upgrade the speed and athleticism of their receiver room after Deion Burks' departure to the NFL. Harris arrives in Norman with over 20 career starts and the versatility to add another dimension to Ben Arbuckle's passing game.",2026,cbs_top100
77,Rasheem Biles,LB,Texas,Pittsburgh,93,"With Anthony Hill off to the NFL and Liona Lefau transferring to Colorado, it was imperative for Steve Sarkisian and new defensive coordinator Will Muschamp to add a veteran presence in the middle of the Longhorns' defense. Enter Biles, who totaled 101 tackles and 4.5 sacks for the Panthers last season and figures to play a key role in Austin this fall.",2026,cbs_top100
78,Noah Carter,EDGE,Georgia Tech,Alabama,93,"A former Top-100 prospect in the Class of 2024, Carter logged fewer than 100 snaps across two seasons at Alabama. Despite the limited sample size, there's enough on-field athletic context to suggest he could thrive with expanded opportunities—something Brent Key and the Yellow Jackets are counting on.",2026,cbs_top100
79,Devin Harper,IOL,LSU,Ole Miss,93,"A Louisiana native and former LSU commit, Harper returns home after one season in Oxford where he saw limited action primarily at right tackle, with additional usage in short-yardage and goal-line packages. With opportunities available along Lane Kiffin's offensive line, Harper should be firmly in the mix at both right tackle and guard.",2026,cbs_top100
80,Kenny Minchey,QB,Kentucky,Notre Dame,92,"A former Top247 prospect, Minchey lost the starting quarterback battle to CJ Carr this fall after a hard-fought competition throughout spring and fall camp. While the sample size remains limited, Minchey's pure passing ability leaves room for optimism that he can develop into more than a serviceable starter under the tutelage of Will Stein.",2026,cbs_top100
81,Raleek Brown,RB,Texas,Arizona State,92,"Brown joins NC State transfer Hollywood Smothers and quarterback Arch Manning to give the Longhorns one of the nation's most talented backfields. An explosive play waiting to happen, Brown averaged over six yards per carry last season for the Sun Devils while totaling more than 1,100 rushing yards.",2026,cbs_top100
82,Xavier Chaplin,OT,Florida State,Auburn,92,"One of the most sought-after transfers just a season ago, Chaplin struggled to meet expectations during his lone year on the Plains while adjusting to the speed and physicality of SEC defensive line play. At 6-foot-7 and nearly 350 pounds, the size–athleticism combo is rare, but the down-to-down consistency will need to improve for Florida State to truly cash in on the upside.",2026,cbs_top100
83,Keona Davis,DL,Miami,Nebraska,92,"A big-bodied, versatile interior lineman with NFL upside, Davis fits Mario Cristobal and the Hurricanes to a tee, as his length and athleticism have consistently caused problems for opposing offenses while he enters just his third season of college football.",2026,cbs_top100
84,Hosea Wheeler,DL,Baylor,Indiana,92,"A rotational piece for Indiana this past season, Wheeler pops on tape as a disruptive, forceful presence along the interior. An athletic mover at nearly 300 pounds, he gives Dave Aranda a late addition to feel good about.",2026,cbs_top100
85,Ian Geffrard,DL,Texas,Arkansas,92,"Texas has shown no hesitation in aggressively pursuing big-bodied interior defensive linemen through the portal, and this cycle is no different. Listed at 6-foot-5 and 387 pounds, the former Razorback is a true space-eater on the interior, capable of anchoring against the run and consistently commanding double teams.",2026,cbs_top100
86,Brody Foley,TE,Louisville,Tulsa,92,"A former Indiana transfer, Foley put together the best season of his collegiate career alongside Tre Lamb and the Golden Hurricanes, totaling over 500 receiving yards and seven touchdowns. The Ohio native joins a sneaky Louisville transfer class as Jeff Brohm and the Cardinals project to be one of the more entertaining offenses next season.",2026,cbs_top100
87,Marquis Johnson,WR,Mississippi State,Missouri,92,"A legit speedster with elite verified and play speed, Johnson heads to Starkville following the recent success of Brennan Thompson and Anthony Evans in Jeff Lebby's passing attack. While the production has yet to fully match the ability, there's no reason to think the former Tiger can't carve out a significant role with the Bulldogs.",2026,cbs_top100
88,Lawayne McCoy,WR,Louisville,Florida State,92,"A second-year receiver from Miami, McCoy has yet to produce at a high level at the collegiate ranks, but the flashes are evident—both at the catch point and as a run-after-catch threat—making him one of the more intriguing pickups this cycle. Expect expanded opportunities for the former Seminole in the Cardinal's offense.",2026,cbs_top100
89,Cooper Barkate,WR,Miami,Duke,92,"A former Harvard transfer, Barkate joins former teammate Darian Mensah in Coral Gables as Miami lands one of the ACC's most productive receivers, coming off a 1,100-plus-yard season for the Blue Devils. An elite route runner with exceptional short-area and separation quickness, Barkate provides Miami's new signal-caller with valuable continuity in the passing game.",2026,cbs_top100
90,Vandrevius Jacobs,WR,Miami,South Carolina,92,"Jacobs maximized his opportunities last season for the Gamecocks, averaging over 17 yards per reception on 32 catches. A slippery speedster with true game-breaking ability, the Florida native should pair well alongside Malachi Toney and new addition Cooper Barkate.",2026,cbs_top100
91,Edwin Joseph,SAF,Ole Miss,Florida State,92,"An instinctive presence near the line of scrimmage, Joseph pops on tape with activity that's hard to ignore. A physical run defender who has shown continued improvement in coverage, Joseph -- alongside Jay Crawford --should give Ole Miss two impact-level starters.",2026,cbs_top100
92,Omar Thornton,SAF,Miami,Boston College,92,"A ball of energy on the football field, Thornton's downhill and physical play style is an ideal fit for the Hurricanes as Miami looks to replace JaKobe Thomas on the backend of their defense.",2026,cbs_top100
94,Parker Livingstone,WR,Oklahoma,Texas,92,"It's strange to see impact transfers cross lines in the Red River Rivalry, but Parker Livingstone is the exception. Arch Manning's former roommate should provide John Mateer with an ultra-steady, playmaking presence in the passing game after averaging over 17 yards per reception this past season.",2026,cbs_top100
95,Yannick Smith,WR,SMU,East Carolina,92,"A true big-bodied X-WR at 6-foot-3 and north of 200 pounds, Smith's play strength and physicality at the catch point should make an immediate impact in Rhett Lashlee's offense while giving the Mustangs a true outside presence for potentially the next two years.",2026,cbs_top100
96,Jayce Brown,WR,LSU,Kansas State,92,"One of the Big 12's most productive receivers operating out of the slot the past two seasons, Brown joins a revamped receiving corps in Baton Rouge and appears primed to thrive in Lane Kiffin's high-flying offense.",2026,cbs_top100
97,Ian Strong,WR,California,Rutgers,92,"Strong joins Ohio transfer Chase Hendricks in Berkeley to add additional firepower through the air for one of college football's most talented young quarterbacks in Jaron Keawe Sagapolutele. A physical presence on the perimeter, the former Rutgers standout should see plenty of targets as the Golden Bears look to take a step forward under first-year head coach Tosh Lupoi.",2026,cbs_top100
98,Adam Mohammed,RB,California,Washington,92,"Backing up Jonah Coleman over the past two seasons in Seattle, Mohammed provided solid production when called upon in Montlake. A physical back at 215 pounds, the Washington transfer projects as a key contributor for the Golden Bears while helping stabilize a ground game that has lacked continuity in recent years.",2026,cbs_top100
99,Braden Pegan,WR,Utah,Utah State,92,"A smooth-moving wideout with a 6-foot-3, 210-pound frame, Pegan put together an impressive season in Logan, totaling over 900 receiving yards on 60 catches. With JJ Buchanan departing for Michigan, the Utah State product should provide immediate relief for Utah's passing game.",2026,cbs_top100
100,Michai Boireau,DL,Ole Miss,Florida,92,"A true nose, Boireau flashed over his first two seasons in Gainesville as his size, play strength and athleticism have continued to develop at a premium interior position. With an emerging skill set and starter-level traits, the Rebels appear to have landed another quality big man up front.",2026,cbs_top100
